항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        열무,61.32,51.487,51.331,50.403,62.507,64.729,60.317,64.631,83.159,95.478,89.213,73.148,73.393,91.234,100.556,98.229,103.885,111.204,101.511,105.555,167.698,162.011,124.025,110.548,94.575,100,125.64,114.04,117.9,129.49
        당근,40.112,49.912,50.431,41.252,65.14,54.743,62.553,62.143,65.259,58.447,61.957,70.278,66.794,81.931,81.956,83.087,96.949,82.997,90.315,96.9,109.539,137.001,115.034,174.252,115.573,100,122.64,149.08,146.61,135.79
        감자,36.876,49.849,40.438,36.488,52.769,50.642,46.063,39.648,51.106,59.357,48.397,53.874,52.708,74.955,89.724,62.647,63.53,73.576,82.463,78.229,96.934,105.538,107.494,86.257,84.747,100,97.07,122.26,148.37,112.57
        고구마,16.171,23.032,26.103,27.472,34.371,34.736,35.092,36.803,39.912,46.628,44.421,59.184,59.277,65.587,73.504,59.457,68.703,74.476,70.943,73.693,81.027,103.654,115.396,93.186,90.494,100,96,102.4,127.89,116.4
        도라지,31.671,33.11,32.634,33.975,40.452,43.594,46.374,50.591,50.33,47.805,46.588,49.333,58.037,64.804,67.525,68.727,68.721,69.173,70.33,74.642,83.88,95.462,98.671,102.966,104.007,100,99.47,100.52,102.6,107.6
        콩나물,34.713,38.066,38.589,41.24,44.893,45.519,46.721,48.178,59.044,60.057,58.293,58.113,60.144,63.744,69.257,70.818,72.365,73.185,81.033,81.628,82.686,90.265,92.758,98.455,99.674,100,100.51,108.65,110,110.46
        버섯,24.612,29.422,31.309,38.675,43.002,46.401,49.924,54.049,54.529,61.094,67.518,72.721,77.919,82.2,84.31,85.823,87.739,85.208,89.391,92.15,91.05,94.168,97.332,97.678,101.777,100,96.93,94.8,93.16,91.79
        오이,23.082,22.645,23.748,23.254,31.826,31.228,31.129,36.03,42.353,42.803,43.465,48.261,52.445,55.893,52.992,60.436,65.382,70.065,63.916,73.092,91.764,87.306,98.027,99.926,92.9,100,107.09,104.73,112.15,115.94
        풋고추,29.115,28.69,28.262,28.747,38.013,32.473,32.555,36.076,38.257,42.998,44.294,51.821,62.984,63.095,63.471,66.194,82.203,78.258,78.286,83.306,98.358,89.727,106.386,98.058,104.125,100,107.81,107.03,106.76,105.1
        호박,36.603,36.747,36.956,39.482,45.713,46.491,44.666,52.733,56.092,71.335,73.807,79.81,83.193,92.437,85.204,89.238,90.108,100.059,86.368,92.972,118.072,112.061,110.891,103.6,99.532,100,110.4,105.23,120.83,102.93
        가지,29.005,26.592,28.712,33.625,33.166,35.749,38.701,38.62,41.771,46.562,58.152,60.042,63.289,73.422,73.814,72.401,76.618,82.645,80.298,79.966,102.356,115.112,113.943,105.634,98.361,100,106.52,110.62,116.74,110.72
        토마토,31.777,41.622,40.152,35.017,40.21,46.422,52.795,53.901,61.144,55.389,49.257,61.298,70.789,83.572,83.957,80.528,84.118,85.071,79.871,81.971,116.686,116.958,124.69,116.386,105.1,100,112.64,117.86,119.45,118.34
