항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
2018년 3월,104.1,107.32,102.39,104.05,101.8,105.08,102.65,103,99.67,101.56,103.99,107.29,106.77
2018년 4월,104.29,107.86,102.52,104.06,101.78,104.6,102.21,102.72,100.15,103.14,104.2,107.7,107.03
2018년 5월,104.34,106.85,102.37,104.08,101.76,105.36,102.19,103.63,100.04,103.33,104.24,108.07,106.98
2018년 6월,104.13,105.48,102.34,104.1,101.68,104.93,102.36,104.34,99.94,101.41,104.26,108.17,107.13
2018년 7월,103.93,105.8,102.54,103.98,100.08,105.39,101.32,104.26,99.39,103.05,104.28,108.52,106.85
2018년 8월,104.85,111.34,102.52,103.98,100.33,105.33,101.37,104.53,99.29,103.81,104.38,108.76,107.12
2018년 9월,105.65,115.2,102.45,104.05,102.04,105.07,101.32,104.68,99.21,103.93,104.46,108.58,107.24
2018년 10월,105.46,112.16,102.44,104.05,102.32,105.5,101.22,106.11,99.16,103.48,104.52,108.74,107.04
2018년 11월,104.71,108.67,102.65,104.4,102.24,105.39,101.14,104.38,98.99,101.81,104.52,108.96,107.32
2018년 12월,104.35,108.86,102.39,104.44,102.22,105.37,101.1,101.34,98.7,100.87,104.57,109.35,107.13
2019년 1월,104.24,108.8,102.57,103.76,101.96,106.17,102.04,98.91,98.35,101.58,105.04,109.7,107.85
2019년 2월,104.69,109.54,102.6,104.41,103.15,107.66,102.14,98.71,97.5,102.44,105.15,109.89,108.19
2019년 3월,104.49,108.48,102.26,104.1,103.01,107.58,102.11,99.3,97.25,101.7,105.19,109.63,108.38
2019년 4월,104.87,109.4,102.66,103.82,102.76,108.06,102.19,100.78,97.52,102.74,105.25,109.8,108.62
2019년 5월,105.05,108.83,103.12,103.92,102.84,106.95,102.2,103.06,97.32,102.32,105.34,110.01,109
2019년 6월,104.88,107.64,103.31,103.97,102.9,106.67,102.51,103.31,97.17,101.29,105.39,110.11,108.73
2019년 7월,104.56,106.68,103.33,103.98,101.47,107.65,102.31,102.58,96.76,102.81,105.39,110.35,108.81
2019년 8월,104.81,107.7,103.38,103.98,101.55,107.28,102.32,102.59,97.13,103.65,105.42,110.64,108.77
2019년 9월,105.2,110.52,103.6,104.02,103.18,106.53,102.41,102.99,97.4,102.54,103.58,110.09,108.77
2019년 10월,105.46,110.74,103.67,104.2,103.34,107.8,102.46,103.6,97.33,102.9,103.72,110.27,108.85
2019년 11월,104.87,107.89,103.4,104.8,103.33,106.96,102.43,103.12,96.57,101.2,103.77,110.29,108.92
2019년 12월,105.12,109.01,103.45,104.8,103.5,107.47,102.53,103.58,96.52,100.52,103.83,110.45,108.94
2020년 1월,105.79,110.81,103.51,104.43,103.43,107.26,103.83,105.03,96.14,101.82,104.08,110.97,110.02
2020년 2월,105.8,110.27,103.56,104.78,104.09,107.85,103.68,104.82,96.09,100.56,104.26,110.93,110.49
2020년 3월,105.54,111.26,103.37,104.73,104.11,107.23,103.74,101.99,96.05,100.34,104.26,110.82,110.43
2020년 4월,104.95,111.29,103.35,103.92,103.95,107.14,103.83,98.47,96.68,100.22,102.69,110.9,110.11
2020년 5월,104.71,111.48,103.44,104.79,103.57,107.58,103.81,96,96.62,100.65,102.44,110.86,110.51
2020년 6월,104.71,111.48,103.44,104.79,103.57,107.58,103.81,96,96.62,100.65,102.44,110.86,110.51
